Universite Paul Sabatier	Universite Paul Sabatier;;	WOS:000268585700069;;
Science Foundation Ireland	Science Foundation Ireland  SEI;;Science Foundation Ireland;;	WOS:000403950600001;;WOS:000310548300036;WOS:000392059700237;WOS:000289445700039;WOS:000260605500002;WOS:000280086900044;WOS:000309458500004;WOS:000293740700004;WOS:000302387400013;;
University of Florida	University of Florida;;	WOS:000279194000011;;
FAPESP/Brazil	FAPESP/Brazil;;	WOS:000296545900013;;
Nicolaus Copernicus University in Torun Poland	Nicolaus Copernicus University in Torun Poland;;	WOS:000339938100005;;
Systems Centre	Systems Centre;;CEN;;	WOS:000300301800007;;WOS:000392233300002;;
Graduate School of National University of Defense Technology	Graduate School of National University of Defense Technology;;	WOS:000379679700010;;
Callaghan Innovation Education Fellowship	Callaghan Innovation Education Fellowship;;	WOS:000367107500123;;
EU under POR Calabria FESR within the PIA of DLVSYSTEM	Regione Calabria program POR Calabria FESK;EU under POR Calabria FESR within the PIA of DLVSYSTEM;;	WOS:000378114300004;WOS:000304364400003;;
Centre Hospitalier Universitaire de Toulouse Toulouse France	Centre Hospitalier Universitaire de Toulouse Toulouse France;;CEN;;	WOS:000347217600047;;WOS:000392233300002;;
National Science Foundation of China	National Science Foundation of China;;National Science Foundation;;	WOS:000284970100017;WOS:000393406200115;WOS:000406010000039;WOS:000392232200036;WOS:000379679700010;WOS:000307317300091;WOS:000349731900012;WOS:000309375600009;WOS:000349547300008;WOS:000266771100009;WOS:000383609300011;WOS:000330342600009;WOS:000304073300007;;WOS:000245718100077;WOS:000245981400176;WOS:000242508100098;WOS:000245981400227;WOS:000247062800142;WOS:000257370800001;WOS:000279598100097;WOS:000288973900009;WOS:000303479800007;WOS:000336891800007;WOS:000399141700180;WOS:000348627100004;WOS:000362088200005;WOS:000359170500002;WOS:000365602500003;WOS:000405717600009;WOS:000246337600008;WOS:000279800700052;WOS:000333532100003;WOS:000359569100004;WOS:000337901800006;WOS:000355933700002;WOS:000371690400001;WOS:000279598100007;WOS:000392059700307;WOS:000298735700001;WOS:000304364400004;WOS:000348417000034;WOS:000350782300002;WOS:000364040300036;WOS:000244722500026;WOS:000248536500004;WOS:000304170100006;WOS:000313291300008;WOS:000362512200103;WOS:000268859000007;WOS:000290248600004;WOS:000293387500003;WOS:000346051000022;WOS:000272227900002;WOS:000303933900003;WOS:000292888200019;WOS:000336891700002;WOS:000281923800013;WOS:000269479300006;WOS:000325646200011;WOS:000318109300024;WOS:000284151200003;WOS:000265327500048;WOS:000295401900002;WOS:000270439000001;WOS:000322175800003;WOS:000322175800003;WOS:000274523100004;WOS:000301504500004;WOS:000284275900004;WOS:000208067900005;WOS:000272870500008;WOS:000338711600059;WOS:000296549100012;;
Commonwealth Scholarship	Commonwealth Scholarship Commission United Kingdom;;Commonwealth Scholarship Commission;;Commonwealth Scholarship;;	WOS:000252731700015;;WOS:000318621800025;;WOS:000378840300017;;
985 Project of Ministration of Education and Superiority Discipline Construction Project of Jiangsu Province	985 Project of Ministration of Education and Superiority Discipline Construction Project of Jiangsu Province;;	WOS:000353545100009;;
Universiti Teknologi Mara Malaysia	Universiti Teknologi Mara Malaysia;;	WOS:000308454300136;;
Natural Science Foundation of PR of China	Natural Science Foundation of PR of China;;Natural Science Foundation;;	WOS:000354590200012;;WOS:000263584100063;;
Max Planck Center for Visual Computing and Communication	NGA;;Max Planck Center for Visual Computing and Communication;;CEN;;	WOS:000282328800025;;WOS:000345502900020;;WOS:000392233300002;;
CNMP	CNMP;;	WOS:000260369300038;;
Saudi Aramco	Saudi Aramco;;	WOS:000333232700009;;
Greek National Funds through the Operational Program  Education	Greek national funds through the Operational Program  Education and Lifelong Learning  under the program THALES;;Lifelong Learning  of the National Strategic Reference Framework  NSRF   Funding Program   HOU;Greek national funds through the Operational ProgTam  Education and Lifelong Learning  of the National Strategic Reference Framework  NSRF;Greek national funds through the Operational Program  Education and Lifelong Learning  of the National Strategic Reference Framework  NSRF  - Research Funding Program  THALES  Investing in knowledge society through the European Social Fund;Greek national funds through the Operational Program  Education and Lifelong Learning  of the National Strategic Reference Framework  NSRF;;Greek National Funds through the Operational Program  Education;;	WOS:000361767900004;;WOS:000332827800030;WOS:000347713100209;WOS:000328684600013;WOS:000345333000009;;WOS:000332827800030;;
PARTNERSHIP Program of the 2nd National Plan for Research Development and Innovation of the Romanian Government	Romanian Government;;PARTNERSHIP Program of the 2nd National Plan for Research Development and Innovation of the Romanian Government;;EVE;;	WOS:000302506600010;;WOS:000316163900026;;WOS:000295290400003;;
Quanser Consulting Inc	Quanser Consulting Inc;;	WOS:000391821200128;;
Natural Science Foundation of Guangdong Province	Natural Science Foundation of Guangdong Province;;Natural Science Foundation;;	WOS:000302894901091;;WOS:000263584100063;;
Higher Council for Science and Technology of Jordan	Higher Council for Science and Technology of Jordan;;	WOS:000292951300002;;
third accented term of  211 engineering  subject constructing	third accented term of  211 engineering  subject constructing;;CEN;;	WOS:000272834600091;;WOS:000392233300002;;
Ministry of Science Technology and Innovation Malaysia	Monash University Sunway Campus Ministry of Science Technology and Innovation Malaysia;;Ministry of Science Technology and Innovation Malaysia;;Ministry of Science Technology and Innovation;;	WOS:000294550100005;;WOS:000308454300136;WOS:000329294400001;WOS:000292076400008;;WOS:000356617200001;;
ALMA-CONICYT fund	CONICYT;;ALMA-CONICYT fund;;	WOS:000285839500073;;WOS:000285839500073;;
SNI-CONACyT  SNI	SNI-CONACyT  SNI;SNI;;NAC;;CONACyT;;	WOS:000338545300029;WOS:000332683200002;WOS:000310945000021;WOS:000338922300004;;WOS:000318143200003;;WOS:000332794600024;WOS:000395631500112;WOS:000319408400005;WOS:000346705600317;WOS:000342784500015;WOS:000347263800126;WOS:000338922300004;WOS:000296470400006;WOS:000310476100004;WOS:000338604700037;WOS:000302524200003;WOS:000332403600020;WOS:000282704400003;WOS:000288102600017;WOS:000309789800005;WOS:000265091900010;WOS:000282204300011;WOS:000309727300005;;
University of Cordoba	University of Cordoba;;	WOS:000405717600046;;
UEFISCSU Romania	UEFISCSU Romania;;	WOS:000317705900012;;
Dunarea de Jos University of Galati Romania	Dunarea de Jos University of Galati Romania;;	WOS:000318160500013;;
Electronics and Telecommunications Research Institute	Electronics and Telecommunications Research Institute;;	WOS:000277662600002;;
ministry of education of Guangdong province	ministry of education of Guangdong province;;Ministry of Education;;	WOS:000317633700007;;WOS:000356617200001;;
MFDD	MFDD;;	WOS:000261736300028;;
GA UK	GA UK;;	WOS:000250108100039;;
NYU-Poly Seed Grant	NYU-Poly Seed Grant;;	WOS:000309200900011;;
Daegu Gyeongbuk Institute of Science and Technology Research and Development Program of the Ministry of Science ICT & Future Planning of Korea	National Research Foudation of Korea - Ministry of Science ICT and Future Planning;National ICT Australia  NICTA;Ministry of Science ICT and Future Planning  MSIP;EU ICT Iot est project;Daegu Gyeongbuk Institute of Science and Technology Research and Development Program of the Ministry of Science ICT & Future Planning of Korea;Australian Research Council through the ICT Centre of Excellence Program;;EVE;;	WOS:000350213100015;WOS:000334363300005;WOS:000380627400001;WOS:000383260300035;WOS:000382452900097;WOS:000358624300005;WOS:000359569100004;;WOS:000295290400003;;
NURC - Romanian National University Research Council  CNCSIS	NURC - Romanian National University Research Council  CNCSIS;;	WOS:000289028900014;;
ESPRC	ESPRC;;	WOS:000285903100006;;
Key National Natural Science Foundation of China	Natural Science Foundation of China;;Natural Science Foundation;;National Natural Science Foundation of China;;National Natural Science Foundation;;Key National Natural Science Foundation of China;;	WOS:000251134500011;WOS:000255017800034;WOS:000263829500091;WOS:000284970100061;WOS:000342328800007;WOS:000378801600005;WOS:000292279501292;WOS:000365573200021;WOS:000387300700002;WOS:000260076600002;WOS:000322269500001;WOS:000361201700001;WOS:000332807700006;WOS:000266672300002;;WOS:000263584100063;;WOS:000241452302020;WOS:000239915100184;WOS:000245970800038;WOS:000241773208122;WOS:000250362300122;WOS:000252380300348;WOS:000262974001084;WOS:000260168200011;WOS:000264556300057;WOS:000284970100009;WOS:000274010700084;WOS:000281720400049;WOS:000276635400076;WOS:000281720401149;WOS:000275862900159;WOS:000270497300340;WOS:000287768500134;WOS:000287375804049;WOS:000296350100043;WOS:000312596500013;WOS:000284339400017;WOS:000276917700012;WOS:000286432400001;WOS:000393821600259;WOS:000310759300031;WOS:000289913000212;WOS:000309246100020;WOS:000311712300011;WOS:000308510100033;WOS:000318818701112;WOS:000342685900146;WOS:000336641401084;WOS:000326679200025;WOS:000317461000020;WOS:000345517200045;WOS:000337642400095;WOS:000345091600044;WOS:000332133600009;WOS:000340611200077;WOS:000335548300007;WOS:000341548200010;WOS:000366993500001;WOS:000357392700005;WOS:000347870300016;WOS:000398913600074;WOS:000367619700001;WOS:000346062500009;WOS:000351183500019;WOS:000351364300023;WOS:000405717600027;WOS:000402055400150;WOS:000405519500162;WOS:000393580300034;WOS:000393155900065;WOS:000379666000005;WOS:000400862900105;WOS:000405722500034;WOS:000400860500087;WOS:000384111300001;WOS:000393560200199;WOS:000406026800050;WOS:000377438600028;WOS:000382883700002;WOS:000384669900010;WOS:000379501000024;WOS:000386328300006;WOS:000383508500003;WOS:000381109700002;WOS:000385805700004;WOS:000385482400007;WOS:000383508500014;WOS:000384007500003;WOS:000383320100009;WOS:000388498700002;WOS:000388923100050;WOS:000385470400024;WOS:000275031800024;WOS:000271535700013;WOS:000324972400008;WOS:000327689200019;WOS:000326198400019;WOS:000333555400004;WOS:000343988900011;WOS:000347725200053;WOS:000347870300030;WOS:000359474300011;WOS:000359487900002;WOS:000361605400004;WOS:000389333700045;WOS:000374618900038;WOS:000370004500001;WOS:000375552300002;WOS:000381544900028;WOS:000387153900035;WOS:000376552600002;WOS:000381647000022;WOS:000388578800002;WOS:000261050700089;WOS:000323045100001;WOS:000318508700003;WOS:000317163100010;WOS:000325674000001;WOS:000336331800001;WOS:000333022500005;WOS:000343408700003;WOS:000357314600017;WOS:000365303800025;WOS:000359165000057;WOS:000378776800052;WOS:000382791400004;WOS:000384533500006;WOS:000393539100058;WOS:000275166300117;WOS:000268249500013;WOS:000293669700017;WOS:000308122700008;WOS:000313100100250;WOS:000311472200021;WOS:000337617302107;WOS:000339228800005;WOS:000336474400004;WOS:000362683500014;WOS:000359554900002;WOS:000365052700011;WOS:000264304300016;WOS:000207971000007;WOS:000281072400018;WOS:000315834800008;WOS:000315263400001;WOS:000321566800012;WOS:000329007400011;WOS:000329625400003;WOS:000336140700017;WOS:000349308600002;WOS:000351842700007;WOS:000389549400023;WOS:000241452304110;WOS:000312318400001;WOS:000312463300065;WOS:000310595700007;WOS:000302452000018;WOS:000316477700001;WOS:000330956700005;WOS:000336116900009;WOS:000375504100017;WOS:000379913000007;WOS:000378450100110;WOS:000385522500009;WOS:000389087400009;WOS:000292192500009;WOS:000314538900001;WOS:000327950900012;WOS:000328702400011;WOS:000337661800013;WOS:000351791900004;WOS:000356118900008;WOS:000377696300001;WOS:000276766100004;WOS:000315708700003;WOS:000326997700003;WOS:000326214800003;WOS:000361409900006;WOS:000316732100061;WOS:000316374000006;WOS:000326214800019;WOS:000367494200004;WOS:000351436200004;WOS:000347745800003;WOS:000265783700014;WOS:000274867000010;WOS:000326297800002;WOS:000343952600038;WOS:000352821000002;WOS:000274090300024;WOS:000271350700037;WOS:000299530200001;WOS:000322491400037;WOS:000331526600005;WOS:000348748200002;WOS:000350534000001;WOS:000271107200004;WOS:000299312000040;WOS:000325835400068;WOS:000318326800009;WOS:000369115800173;WOS:000351430600002;WOS:000262467000001;WOS:000270630100014;WOS:000375245000023;WOS:000374164600047;WOS:000258438100011;WOS:000348084800003;WOS:000351324300020;WOS:000308623700022;WOS:000274094100013;WOS:000331682100033;WOS:000259191900003;WOS:000280073500001;WOS:000369196200017;WOS:000258766700003;WOS:000301155300127;;WOS:000270497301258;WOS:000279339400081;WOS:000305114902126;WOS:000295076300028;WOS:000302092000410;;WOS:000266774400001;;
Sao Paulo Research Foundation-FAPESP	Sao Paulo Research Foundation-FAPESP;;Sao Paulo Research Foundation;;	WOS:000330122700009;;WOS:000376282300009;;
Distinguished Scientist Fellowship Program DSFP  at King Saud University	King Saud University;;Distinguished Scientist Fellowship Program DSFP  at King Saud University;;	WOS:000312626800022;WOS:000288102600017;WOS:000300276700010;;WOS:000326740100001;;
Association for Forests Development and Conservation	EVE;;Association for Forests Development and Conservation;;	WOS:000295290400003;;WOS:000312904200221;WOS:000291524200015;;
U S  Navy	U S  Navy;;	WOS:000401244000078;;
Artificial Intelligence Research Promotion Foundation	Artificial Intelligence Research Promotion Foundation;;	WOS:000336872300007;;
B  Macfie Family Foundation	B  Macfie Family Foundation;;	WOS:000305518200007;;
University of Berne	University of Berne;;	WOS:000351326900024;WOS:000284864200007;;
European Funds for Regional Development	EVE;;European Funds for Regional Development;;	WOS:000295290400003;;WOS:000362978600001;;
National 973 Project of China	National 973 Project of China;;	WOS:000369957800091;;
Ministerio do Ensino Superior	Ministerio do Ensino Superior da Ciencia e da Tecnologia Portugal;;Ministerio do Ensino Superior;;	WOS:000318998000021;;WOS:000309341303004;;
National Oceanography Department Malaysia	National Oceanography Department Malaysia;;	WOS:000351112300003;;
CETVI	CETVI;;	WOS:000287040000036;;
University Roma Tre  Internationalization Project	University Roma Tre  Internationalization Project;;	WOS:000341089700006;;
Heilongjiang Provincial Department of Education	Heilongjiang Provincial Department of Education;;	WOS:000323966201107;;
